2026-09-05 00:23:21,183 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:23:21,184 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:24:04,619 | INFO | attendance | FaceDetector initialized with ONNX Runtime (UltraFace) (model: ultraface-RFB-320.onnx, input: 320x240)
2026-09-05 00:24:04,620 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:24:04,621 | INFO | attendance | AttendanceService initialized
2026-09-05 00:24:04,621 | INFO | attendance | CameraService: processor service attached
2026-09-05 00:24:04,623 | INFO | attendance | Application started successfully.
2026-09-05 00:24:04,624 | INFO | attendance | Face engine mode: simple
2026-09-05 00:24:04,624 | INFO | attendance | Face detector: ultraface
2026-09-05 00:24:04,708 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:24:04,713 | INFO | attendance | Camera loop started for '1' (area_id=1)
2026-09-05 00:24:04,824 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:24:04,824 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:24:04,824 | INFO | attendance | EmployeeService: rebuilding face gallery...
2026-09-05 00:24:04,825 | INFO | attendance | FaceGallery: loaded 0 employees with faces
2026-09-05 00:24:04,825 | INFO | attendance | FaceEngine: gallery is empty, nothing to train
2026-09-05 00:24:04,825 | INFO | attendance | EmployeeService: gallery rebuild complete
2026-09-05 00:24:04,825 | INFO | attendance | Startup: ready!
2026-09-05 00:24:04,896 | INFO | attendance | Camera '1' (id=1): connecting to 0
2026-09-05 00:24:05,689 | INFO | attendance | Camera '1': connected successfully
2026-09-05 00:24:12,720 | INFO | attendance | New session created: id=1, type=unknown, emp_id=-, camera=1
2026-09-05 00:24:13,418 | INFO | attendance | New session created: id=2, type=unknown, emp_id=-, camera=1
2026-09-05 00:24:28,763 | INFO | attendance | New session created: id=3, type=unknown, emp_id=-, camera=1
2026-09-05 00:24:29,275 | INFO | attendance | New session created: id=4, type=unknown, emp_id=-, camera=1
2026-09-05 00:25:27,324 | INFO | attendance | Shutdown: stopping all cameras...
2026-09-05 00:25:27,789 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:25:27,789 | INFO | attendance | CameraService: stopped all cameras
2026-09-05 00:25:27,789 | INFO | attendance | Camera '1': disconnected
2026-09-05 00:25:27,789 | INFO | attendance | Shutdown: closing active sessions...
2026-09-05 00:25:27,790 | INFO | attendance | Camera loop stopped for '1'
2026-09-05 00:25:27,885 | INFO | attendance | Closed 4 active sessions on shutdown
2026-09-05 00:25:27,886 | INFO | attendance | Shutdown complete. Closed 4 sessions.
2026-09-05 00:26:08,654 | INFO | attendance | FaceDetector initialized with ONNX Runtime (UltraFace) (model: ultraface-RFB-320.onnx, input: 320x240)
2026-09-05 00:26:08,654 | WARNING | attendance | FaceEngine: cv2.face not available, falling back to simple distance mode
2026-09-05 00:26:08,655 | INFO | attendance | AttendanceService initialized
2026-09-05 00:26:08,655 | INFO | attendance | CameraService: processor service attached
2026-09-05 00:26:08,657 | INFO | attendance | Application started successfully.
2026-09-05 00:26:08,657 | INFO | attendance | Face engine mode: simple
2026-09-05 00:26:08,657 | INFO | attendance | Face detector: ultraface
2026-09-05 00:26:08,739 | INFO | attendance | Startup: starting active cameras...
2026-09-05 00:26:08,742 | INFO | attendance | Camera loop started for '1' (area_id=1)
2026-09-05 00:26:08,925 | INFO | attendance | CameraService: started 1 cameras
2026-09-05 00:26:08,926 | INFO | attendance | Startup: building face gallery...
2026-09-05 00:26:08,926 | INFO | attendance | EmployeeService: rebuilding face gallery...
